"filename", "language", "Kotlinscript", "Properties", "XML", "Kotlin", "Markdown", "Batch", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\NameFixScreen.kt", "Kotlin", 0, 0, 0, 912, 0, 0, 86, 65, 1063
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\NameNormalizeScreen.kt", "Kotlin", 0, 0, 0, 574, 0, 0, 136, 30, 740
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\dialpad\DialpadScreen.kt", "Kotlin", 0, 0, 0, 615, 0, 0, 117, 28, 760
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\favorites\FavoritesScreen.kt", "Kotlin", 0, 0, 0, 60, 0, 0, 0, 6, 66
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\help\UserGuideScreen.kt", "Kotlin", 0, 0, 0, 106, 0, 0, 8, 7, 121
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsScreen.kt", "Kotlin", 0, 0, 0, 588, 0, 0, 100, 20, 708
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, 0, 0, 416, 0, 0, 170, 26, 612
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\AccessibilityScreen.kt", "Kotlin", 0, 0, 0, 145, 0, 0, 4, 8, 157
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\BlockingScreen.kt", "Kotlin", 0, 0, 0, 116, 0, 0, 5, 6, 127
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\CallingScreen.kt", "Kotlin", 0, 0, 0, 130, 0, 0, 5, 7, 142
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\DisplayScreen.kt", "Kotlin", 0, 0, 0, 91, 0, 0, 5, 6, 102
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\RingtonesScreen.kt", "Kotlin", 0, 0, 0, 107, 0, 0, 7, 6, 120
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 0, 0, 714, 0, 0, 54, 22, 790
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\ToolsScreen.kt", "Kotlin", 0, 0, 0, 228, 0, 0, 24, 8, 260
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\storage\StorageLocationsScreen.kt", "Kotlin", 0, 0, 0, 411, 0, 0, 41, 20, 472
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Theme.kt", "Kotlin", 0, 0, 0, 58, 0, 0, 3, 6, 67
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Type.kt", "Kotlin", 0, 0, 0, 15, 0, 0, 1, 3, 19
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactAccounts.kt", "Kotlin", 0, 0, 0, 253, 0, 0, 119, 20, 392
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactOps.kt", "Kotlin", 0, 0, 0, 352, 0, 0, 81, 24, 457
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactPorting.kt", "Kotlin", 0, 0, 0, 170, 0, 0, 31, 19, 220
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\DefaultDialer.kt", "Kotlin", 0, 0, 0, 19, 0, 0, 8, 5, 32
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\DialerPermissions.kt", "Kotlin", 0, 0, 0, 18, 0, 0, 5, 5, 28
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\PhoneAccounts.kt", "Kotlin", 0, 0, 0, 41, 0, 0, 15, 6, 62
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\RowActions.kt", "Kotlin", 0, 0, 0, 68, 0, 0, 21, 8, 97
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ShakeDetector.kt", "Kotlin", 0, 0, 0, 53, 0, 0, 19, 10, 82
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\UpdateChecker.kt", "Kotlin", 0, 0, 0, 72, 0, 0, 42, 8, 122
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\Updater.kt", "Kotlin", 0, 0, 0, 90, 0, 0, 38, 7, 135
