"filename", "language", "Kotlinscript", "Properties", "Markdown", "XML", "PowerShell", "Batch", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 682, 46, 22, 750
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\ToolsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 139, 11, 6, 156
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\storage\StorageLocationsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 411, 41, 20, 472
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Theme.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 58, 3, 6, 67
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Type.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 15, 1, 3, 19
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactAccounts.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 253, 119, 20, 392
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactOps.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 300, 59, 21, 380
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactPorting.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 170, 31, 19, 220
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\DefaultDialer.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 19, 8, 5, 32
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\DialerPermissions.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 18, 5, 5, 28
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\PhoneAccounts.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 41, 15, 6, 62
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\RowActions.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 68, 21, 8, 97
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ShakeDetector.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 53, 19, 10, 82
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\UpdateChecker.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 72, 42, 8, 122
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\Updater.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 90, 38, 7, 135
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearch.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 131, 46, 22, 199
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearchSheet.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 162, 26, 9, 197
"d:\code\accessible_dialer\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 0, 0, 0, 168, 0, 0, 0, 13, 27, 208
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 0, 0, 0, 172, 0, 0, 0, 2, 27, 201
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 0, 0, 0, 168, 0, 0, 0, 2, 27, 197
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 0, 0, 0, 168, 0, 0, 0, 12, 27, 207
"d:\code\accessible_dialer\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 560, 0, 0, 0, 31, 49, 640
"d:\code\accessible_dialer\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"d:\code\accessible_dialer\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle.properties", "Properties", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\code\accessible_dialer\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 0, 30, 22, 93
"d:\code\accessible_dialer\scripts\run-and-tail.ps1", "PowerShell", 0, 0, 0, 0, 22, 0, 0, 2, 5, 29
"d:\code\accessible_dialer\settings.gradle.kts", "Kotlinscript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\code\accessible_dialer\ui.xml", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 91, 11, 62, 1373, 22, 41, 13065, 2269, 1072, 18006
